Date,^GSPC,^DJI,^IXIC,^BVSP
2/7/17,2293.080078,20052.41992,5674.220215,66968
2/8/17,2294.669922,20090.28906,5682.450195,66713
2/9/17,2307.870117,20054.33984,5715.180176,67976
2/10/17,2316.100098,20172.40039,5734.129883,67814
2/13/17,2328.25,20269.36914,5763.959961,67748
2/14/17,2337.580078,20412.16016,5782.569824,68533
2/15/17,2349.25,20504.41016,5819.439941,69052
2/16/17,2347.219971,20611.85938,5814.899902,68590
2/17/17,2351.159912,20619.76953,5838.580078,67461
2/21/17,2365.379883,20624.05078,5865.950195,66662
2/22/17,2362.820068,20743,5860.629883,66989
2/23/17,2363.810059,20775.59961,5835.509766,65855
2/24/17,2367.340088,20810.32031,5845.310059,66786
2/27/17,2369.75,20821.75977,5861.899902,66341
2/28/17,2363.639893,20837.43945,5825.439941,65742
3/1/17,2395.959961,20812.24023,5904.029785,64718
3/2/17,2381.919922,21115.55078,5861.220215,64585
3/3/17,2383.120117,21002.9707,5870.75,64675
3/6/17,2375.310059,21005.71094,5849.180176,65534
3/7/17,2368.389893,20954.33984,5833.930176,64699
3/8/17,2362.97998,20924.75977,5837.549805,66235
3/9/17,2364.870117,20855.73047,5838.810059,65783
3/10/17,2372.600098,20858.18945,5861.72998,64210
3/13/17,2373.469971,20902.98047,5875.779785,64884
3/14/17,2365.449951,20881.48047,5856.819824,62980
3/15/17,2385.26001,20837.36914,5900.049805,63521
3/16/17,2381.379883,20950.09961,5900.759766,63531
3/17/17,2378.25,20934.55078,5901,63854
3/20/17,2373.469971,20914.61914,5901.529785,64308
3/21/17,2344.02002,20905.85938,5793.830078,64640
3/22/17,2348.449951,20668.00977,5821.640137,65528
3/23/17,2345.959961,20661.30078,5817.689941,65266
3/24/17,2343.97998,20656.58008,5828.740234,64984
3/27/17,2341.590088,20596.7207,5840.370117,65211
3/28/17,2358.570068,20550.98047,5875.140137,65769
3/29/17,2361.129883,20701.5,5897.549805,64775
3/30/17,2368.060059,20659.32031,5914.339844,64223
3/31/17,2362.719971,20728.49023,5911.740234,64593
4/3/17,2358.840088,20663.2207,5894.680176,64650
4/4/17,2360.159912,20650.21094,5898.609863,64360
4/5/17,2352.949951,20689.24023,5864.47998,63892
4/6/17,2357.48999,20648.15039,5878.950195,62826
4/7/17,2355.540039,20662.94922,5877.810059,64335
4/10/17,2357.159912,20656.09961,5880.930176,64159
4/11/17,2353.780029,20658.01953,5866.77002,63407
4/12/17,2344.929932,20651.30078,5836.160156,63761
4/13/17,2328.949951,20591.85938,5805.149902,64389
4/17/17,2349.01001,20453.25,5856.790039,65148
4/18/17,2342.189941,20636.91992,5849.470215,64862
4/19/17,2338.169922,20523.2793,5863.029785,64677
4/20/17,2355.840088,20404.49023,5916.779785,65403
4/21/17,2348.689941,20578.71094,5910.52002,66722
4/24/17,2374.149902,20547.75977,5983.819824,66094
4/25/17,2388.610107,20763.89063,6025.490234,64863
4/26/17,2387.449951,20996.11914,6025.22998,65710
4/27/17,2388.77002,20975.08984,6048.939941,65526
4/28/17,2384.199951,20981.33008,6047.609863,66278
5/1/17,2388.330078,20940.50977,6091.600098,67350
5/2/17,2391.169922,20913.46094,6095.370117,67538
5/3/17,2388.129883,20949.89063,6072.549805,68222
5/4/17,2389.52002,20957.90039,6075.339844,68474
5/5/17,2399.290039,20951.4707,6100.759766,68684
5/8/17,2399.379883,21006.93945,6102.660156,67540
5/9/17,2396.919922,21012.2793,6120.589844,61597
5/10/17,2399.629883,20975.7793,6129.140137,62639
5/11/17,2394.439941,20943.10938,6115.959961,61673
5/12/17,2390.899902,20919.41992,6121.22998,62662
5/15/17,2402.320068,20896.60938,6149.669922,63257
5/16/17,2400.669922,20981.93945,6169.870117,63227
5/17/17,2357.030029,20979.75,6011.240234,64085
5/18/17,2365.719971,20606.92969,6055.129883,63761
5/19/17,2381.72998,20663.01953,6083.700195,63962
5/22/17,2394.02002,20804.83984,6133.620117,62711
5/23/17,2398.419922,20894.83008,6138.709961,62289
5/24/17,2404.389893,20937.91016,6163.02002,62511
5/25/17,2415.070068,21012.41992,6205.259766,62450
5/26/17,2415.820068,21082.94922,6210.189941,62955
5/30/17,2412.909912,21080.2793,6203.189941,63171
5/31/17,2411.800049,21029.4707,6198.52002,62756
6/1/17,2430.060059,21008.65039,6246.830078,62211
6/2/17,2439.070068,21144.17969,6305.799805,61700
6/5/17,2436.100098,21206.28906,6295.680176,61829
6/6/17,2429.330078,21184.03906,6275.060059,61923
6/7/17,2433.139893,21136.23047,6297.379883,61923
6/8/17,2433.790039,21173.68945,6321.759766,61626
6/9/17,2431.77002,21182.5293,6207.919922,62014
6/12/17,2429.389893,21271.9707,6175.459961,60766
6/13/17,2440.350098,21235.66992,6220.370117,60762
6/14/17,2437.919922,21328.4707,6194.890137,61272
6/15/17,2432.459961,21374.56055,6165.5,61087
6/16/17,2433.149902,21359.90039,6151.759766,62188
6/19/17,2453.459961,21384.2793,6239.009766,61675
6/20/17,2437.030029,21528.99023,6188.029785,62018
6/21/17,2435.610107,21467.14063,6233.950195,62239
6/22/17,2434.5,21410.0293,6236.689941,62900
6/23/17,2438.300049,21397.28906,6265.25,63280
6/26/17,2439.070068,21394.75977,6247.149902,63232
6/27/17,2419.379883,21409.55078,6146.620117,63154
6/28/17,2440.689941,21310.66016,6234.410156,62470
6/29/17,2419.699951,21454.60938,6144.350098,62322
6/30/17,2423.409912,21287.0293,6140.419922,63025
7/3/17,2429.01001,21349.63086,6110.060059,63832
7/5/17,2432.540039,21479.26953,6150.859863,64836
7/6/17,2409.75,21478.16992,6089.459961,65178
7/7/17,2425.179932,21320.03906,6153.080078,65436
7/10/17,2427.429932,21414.33984,6176.390137,65212
7/11/17,2425.530029,21408.51953,6193.299805,65338
7/12/17,2443.25,21409.07031,6261.169922,65180
7/13/17,2447.830078,21532.14063,6274.439941,64938
7/14/17,2459.27002,21553.08984,6312.470215,64684
7/17/17,2459.139893,21637.74023,6314.430176,65100
7/18/17,2460.610107,21629.7207,6344.310059,65668
7/19/17,2473.830078,21574.73047,6385.040039,65011
7/20/17,2473.449951,21640.75,6390,65277
7/21/17,2472.540039,21611.7793,6387.75,65497
7/24/17,2469.909912,21580.07031,6410.810059,65920
7/25/17,2477.129883,21513.16992,6412.169922,66516
7/26/17,2477.830078,21613.42969,6422.75,67136
7/27/17,2475.419922,21711.00977,6382.189941,66777
7/28/17,2472.100098,21796.55078,6374.680176,66898
7/31/17,2470.300049,21830.31055,6348.120117,67940
8/1/17,2476.350098,21891.11914,6362.939941,67899
8/2/17,2477.570068,21963.91992,6362.649902,67671
8/3/17,2472.159912,22016.24023,6340.339844,66992
8/4/17,2476.830078,22026.09961,6351.560059,67359
8/7/17,2480.909912,22092.81055,6383.77002,68285
